split,label,examples
testing,_silence_,257
testing,_unknown_,257
testing,down,253
testing,go,251
testing,left,267
testing,no,252
testing,off,262
testing,on,246
testing,right,259
testing,stop,249
testing,up,272
testing,yes,256
training,_silence_,1854
training,_unknown_,1854
training,down,1842
training,go,1861
training,left,1839
training,no,1853
training,off,1839
training,on,1864
training,right,1852
training,stop,1885
training,up,1843
training,yes,1860
validation,_silence_,258
validation,_unknown_,258
validation,down,264
validation,go,260
validation,left,247
validation,no,270
validation,off,256
validation,on,257
validation,right,256
validation,stop,246
validation,up,260
validation,yes,261
