example_id,path,original_word,speaker_id,split,label,label_index,source_type,offset_samples,frames,sample_rate,is_synthetic
scv1-000000,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,1193,16000,16000,True
scv1-000001,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,8654,16000,16000,True
scv1-000002,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,11649,16000,16000,True
scv1-000003,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,16390,16000,16000,True
scv1-000004,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,17385,16000,16000,True
scv1-000005,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,20598,16000,16000,True
scv1-000006,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,24202,16000,16000,True
scv1-000007,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,24329,16000,16000,True
scv1-000008,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,26804,16000,16000,True
scv1-000009,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,31015,16000,16000,True
scv1-000010,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,31295,16000,16000,True
scv1-000011,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,33115,16000,16000,True
scv1-000012,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,33429,16000,16000,True
scv1-000013,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,33597,16000,16000,True
scv1-000014,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,38232,16000,16000,True
scv1-000015,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,48458,16000,16000,True
scv1-000016,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,49146,16000,16000,True
scv1-000017,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,52884,16000,16000,True
scv1-000018,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,69996,16000,16000,True
scv1-000019,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,73435,16000,16000,True
scv1-000020,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,75239,16000,16000,True
scv1-000021,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,80785,16000,16000,True
scv1-000022,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,82688,16000,16000,True
scv1-000023,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,82790,16000,16000,True
scv1-000024,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,86673,16000,16000,True
scv1-000025,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,102908,16000,16000,True
scv1-000026,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,105063,16000,16000,True
scv1-000027,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,108995,16000,16000,True
scv1-000028,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,111446,16000,16000,True
scv1-000029,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,112540,16000,16000,True
scv1-000030,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,117466,16000,16000,True
scv1-000031,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,124144,16000,16000,True
scv1-000032,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,124996,16000,16000,True
scv1-000033,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,126753,16000,16000,True
scv1-000034,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,127355,16000,16000,True
scv1-000035,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,129368,16000,16000,True
scv1-000036,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,132913,16000,16000,True
scv1-000037,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,135075,16000,16000,True
scv1-000038,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,136428,16000,16000,True
scv1-000039,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,137437,16000,16000,True
scv1-000040,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,152136,16000,16000,True
scv1-000041,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,159761,16000,16000,True
scv1-000042,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,160828,16000,16000,True
scv1-000043,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,161912,16000,16000,True
scv1-000044,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,172190,16000,16000,True
scv1-000045,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,174666,16000,16000,True
scv1-000046,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,175200,16000,16000,True
scv1-000047,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,177194,16000,16000,True
scv1-000048,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,179015,16000,16000,True
scv1-000049,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,195327,16000,16000,True
scv1-000050,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,197261,16000,16000,True
scv1-000051,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,199634,16000,16000,True
scv1-000052,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,200316,16000,16000,True
scv1-000053,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,202796,16000,16000,True
scv1-000054,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,213788,16000,16000,True
scv1-000055,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,215116,16000,16000,True
scv1-000056,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,218190,16000,16000,True
scv1-000057,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,218846,16000,16000,True
scv1-000058,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,223260,16000,16000,True
scv1-000059,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,228177,16000,16000,True
scv1-000060,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,228206,16000,16000,True
scv1-000061,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,234388,16000,16000,True
scv1-000062,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,237186,16000,16000,True
scv1-000063,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,244980,16000,16000,True
scv1-000064,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,245523,16000,16000,True
scv1-000065,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,249369,16000,16000,True
scv1-000066,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,250688,16000,16000,True
scv1-000067,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,251296,16000,16000,True
scv1-000068,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,253257,16000,16000,True
scv1-000069,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,255748,16000,16000,True
scv1-000070,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,265020,16000,16000,True
scv1-000071,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,268200,16000,16000,True
scv1-000072,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,272953,16000,16000,True
scv1-000073,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,278090,16000,16000,True
scv1-000074,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,279481,16000,16000,True
scv1-000075,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,281771,16000,16000,True
scv1-000076,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,282039,16000,16000,True
scv1-000077,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,283955,16000,16000,True
scv1-000078,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,284873,16000,16000,True
scv1-000079,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,285909,16000,16000,True
scv1-000080,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,307710,16000,16000,True
scv1-000081,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,314035,16000,16000,True
scv1-000082,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,321201,16000,16000,True
scv1-000083,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,321681,16000,16000,True
scv1-000084,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,331982,16000,16000,True
scv1-000085,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,338741,16000,16000,True
scv1-000086,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,341813,16000,16000,True
scv1-000087,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,346097,16000,16000,True
scv1-000088,_background_noise_/doing_the_dishes.wav,_background_noise_,,training,_silence_,0,background_slice,347426,16000,16000,True
